gene_symbol	gene_id	chrom	pops_score	magma_z	magma_p
CACNA1C	ENSG00000151067	12	1.5631031140546552	8.4425	1.5532e-17
CACNA1A	ENSG00000141837	19	1.2804004636194777	2.1487	0.01583
GRIA2	ENSG00000120251	4	1.266549487642464	1.4704	0.070733
PCDH9	ENSG00000184226	13	1.2639496988978176	4.3799	5.9368e-06
NRXN1	ENSG00000179915	2	1.2617206784499655	4.364	6.3849000000000005e-06
ANKS1B	ENSG00000185046	12	1.1775068350531848	6.5713	2.4943e-11
NCAM1	ENSG00000149294	11	1.1368495481391057	4.4201	4.9338e-06
TCF4	ENSG00000196628	18	1.134123827709359	8.4607	1.329e-17
NRXN3	ENSG00000021645	14	1.1248319622647636	2.8554	0.0021489
ERBB4	ENSG00000178568	2	1.1232053374275612	6.5009	3.9924e-11
CACNB2	ENSG00000165995	10	1.0933554262686829	8.5057	9.0213e-18
RIMS1	ENSG00000079841	6	1.0922368469374235	4.3766	6.0283e-06
MAGI2	ENSG00000187391	7	1.084880585140198	4.2362	1.1365e-05
GRIA4	ENSG00000152578	11	1.0576059336726715	1.6384	0.050668
ZEB2	ENSG00000169554	2	1.0284453273136978	6.144	4.0224000000000005e-10
CACNB4	ENSG00000182389	2	1.0217428300957758	1.6169	0.052953999999999994
CACNA1B	ENSG00000148408	9	0.9995268051397008	1.7517	0.039911
PHACTR1	ENSG00000112137	6	0.9897156647894048	1.2761	0.10096000000000001
GRIK2	ENSG00000164418	6	0.9864486055665102	1.9344	0.026531
CTNND2	ENSG00000169862	5	0.9721203700754308	2.319	0.010196
GPM6A	ENSG00000150625	4	0.9631813286631594	4.6069	2.0437e-06
BCL11A	ENSG00000119866	2	0.9536328698866624	3.8685	5.4756e-05
GRM7	ENSG00000196277	3	0.951243006930074	3.0032	0.001336
GRIN2A	ENSG00000183454	16	0.9428254733528352	4.8028	7.8244e-07
GRIN1	ENSG00000176884	9	0.9377655578379788	0.74571	0.22791999999999998
CACNA2D1	ENSG00000153956	7	0.9313956426257596	2.4468	0.007206199999999999
PPP3CA	ENSG00000138814	4	0.9182737998411076	2.7267	0.0031988000000000003
DLG2	ENSG00000150672	11	0.9093734987679696	2.5868	0.0048438000000000005
GRM3	ENSG00000198822	7	0.8951114586038059	5.9336	1.4817e-09
RBFOX1	ENSG00000078328	16	0.8931399539948216	6.2412	2.1709e-10
PTPRS	ENSG00000105426	19	0.8895490551601646	2.4447	0.007248899999999999
PPFIA2	ENSG00000139220	12	0.887299030706712	1.1784	0.11930999999999999
FOXP1	ENSG00000114861	3	0.8847911769488027	7.8119	2.8162e-15
GRM5	ENSG00000168959	11	0.8840056306225191	2.4539	0.007065899999999999
MAPT	ENSG00000186868	17	0.8811823465269144	5.5967	1.0921e-08
ANK3	ENSG00000151150	10	0.8754354823789625	4.9579	3.5628e-07
DCC	ENSG00000187323	18	0.8708745857897726	4.5517	2.6602e-06
NRCAM	ENSG00000091129	7	0.8634068421103873	3.4465	0.00028394
CTNNA2	ENSG00000066032	2	0.8585658568866487	3.9218	4.3945e-05
EPHA5	ENSG00000145242	4	0.853015762476548	4.4453	4.3893000000000005e-06
SYT1	ENSG00000067715	12	0.8425866525906307	2.2776	0.011375
PCDH7	ENSG00000169851	4	0.8382862859128634	5.4886	2.0253999999999997e-08
CADPS	ENSG00000163618	3	0.8380961877221756	3.0007	0.0013467000000000002
RTN4	ENSG00000115310	2	0.8319139486862989	3.1456	0.00082879
PLXNA2	ENSG00000076356	1	0.8252919175536905	3.2719	0.0005342000000000001
MEF2C	ENSG00000081189	5	0.8243184916729811	3.9852	3.3716e-05
CCDC88A	ENSG00000115355	2	0.8236071289605771	1.0476	0.14742
OPCML	ENSG00000183715	11	0.8217437215406983	5.7084	5.7033e-09
EGR1	ENSG00000120738	5	0.8037661975432383	4.8202	7.172100000000001e-07
SLC8A1	ENSG00000183023	2	0.7971324075469335	4.313	8.0526e-06
CACNB1	ENSG00000067191	17	0.7967096495681021	2.6583	0.0039272
ZNF804A	ENSG00000170396	2	0.7858491187389893	4.2595	1.0244e-05
CDK5R1	ENSG00000176749	17	0.7841956829763738	3.9325	4.204e-05
CACNA1D	ENSG00000157388	3	0.7837358281039495	1.5159	0.06476699999999999
KIF1A	ENSG00000130294	2	0.7821907452748671	0.50966	0.30515
KIF5C	ENSG00000168280	2	0.7806432967897643		
NKAIN2	ENSG00000188580	6	0.7804618738843019	4.3452	6.9580999999999995e-06
NEGR1	ENSG00000172260	1	0.7804494496602049	5.16	1.235e-07
TENM2	ENSG00000145934	5	0.7779343611388271	3.9199	4.4287e-05
MYT1L	ENSG00000186487	2	0.7758803641379588	3.1083	0.00094083
SRRM2	ENSG00000167978	16	0.7751965951749502	0.90945	0.18156
ELAVL3	ENSG00000196361	19	0.7749266788876014	-0.30456	0.61965
GABRB3	ENSG00000166206	15	0.7743255145516075	2.0543	0.019975
TTC3	ENSG00000182670	21	0.7675550576237226	1.6825	0.046234
SCN8A	ENSG00000196876	12	0.7647931364228892	2.6643	0.0038574
ENOX1	ENSG00000120658	13	0.7605713995396938	4.8091	7.5815e-07
AKAP6	ENSG00000151320	14	0.7570593954114267	2.4859999999999998	0.0064586
FMN2	ENSG00000155816	1	0.7531978594487655	2.1361	0.016337
KALRN	ENSG00000160145	3	0.7521322560283855	3.5869	0.00016733
MAP2	ENSG00000078018	2	0.7483481674352798	2.3292	0.0099246
ATP2B2	ENSG00000157087	3	0.7481138436597484	3.6585	0.00012683
PLCB1	ENSG00000182621	20	0.7470621948167127	1.8259999999999998	0.033928
CPLX2	ENSG00000145920	5	0.7436403729272886	1.5052	0.066135
PDE4D	ENSG00000113448	5	0.7431655826197914	4.5729	2.4048e-06
TMEM178B	ENSG00000261115	7	0.7385149724346569	4.4647	4.0087e-06
PTPRD	ENSG00000153707	9	0.7376748739748308	3.2942	0.00049359
SATB2	ENSG00000119042	2	0.7369465780585579	5.7208	5.3008e-09
DLGAP1	ENSG00000170579	18	0.7347190832253658	-0.056195	0.52241
CACNG2	ENSG00000166862	22	0.733891192741255	2.2715	0.011559
MYO5A	ENSG00000197535	15	0.731915278076465	3.5107	0.00022346
GNAO1	ENSG00000087258	16	0.731333134078183	2.2907	0.01099
PPP2R2B	ENSG00000156475	5	0.7299704286345798	4.1138	1.9461e-05
GRIA1	ENSG00000155511	5	0.7292449054957357	1.7409999999999999	0.040839999999999994
MAPK10	ENSG00000109339	4	0.7284877342036914	2.7632	0.0028619
SOBP	ENSG00000112320	6	0.7280157355119896	2.3857	0.0085231
NTRK2	ENSG00000148053	9	0.7252994612715236	0.13804	0.44511000000000006
CADM2	ENSG00000175161	3	0.7231710403843785	1.5621	0.059132000000000004
CACNB3	ENSG00000167535	12	0.7222370261322946	2.5369	0.0055924
HNRNPH1	ENSG00000169045	5	0.7211069714848052	2.8426	0.0022374
FAT3	ENSG00000165323	11	0.7201851042524798	1.1741	0.12017
NRXN2	ENSG00000110076	11	0.7173810656421823	2.2365	0.012661
LRRC7	ENSG00000033122	1	0.7140554667701836	2.6342	0.0042165
DOCK3	ENSG00000088538	3	0.7136649543859732	1.0552	0.14567
TNRC6B	ENSG00000100354	22	0.7121597006109569	2.0512	0.020124
SNAP91	ENSG00000065609	6	0.7121068441346619	5.5492	1.4352e-08
SRRM4	ENSG00000139767	12	0.7109654485857737	2.9305	0.0016922999999999999
RTN3	ENSG00000133318	11	0.7095044768520806	3.2148	0.00065272
NRGN	ENSG00000154146	11	0.7094816008961079	7.0367	9.8427e-13
CNTN2	ENSG00000184144	1	0.7092543451187749	3.4792	0.00025144
SNAP25	ENSG00000132639	20	0.7085693917736745	0.85741	0.19560999999999998
HCN1	ENSG00000164588	5	0.7073854966258686	6.8771	3.055e-12
ATRNL1	ENSG00000107518	10	0.705993918594376	1.9767	0.024038999999999998
GABRA2	ENSG00000151834	4	0.7055893544981899	3.2311	0.00061664
KCNMA1	ENSG00000156113	10	0.7054006759075471	4.2475	1.0809000000000001e-05
PCSK2	ENSG00000125851	20	0.7053554144905811	1.6844	0.046051
CACNG3	ENSG00000006116	16	0.7031191613292065	2.4881	0.0064207
ARGLU1	ENSG00000134884	13	0.7014537853884211	1.8213	0.034281
ATP2B1	ENSG00000070961	12	0.7009674566462599	1.298	0.097136
MSRA	ENSG00000175806	8	0.7007319986502167	5.652	7.9285e-09
JPH4	ENSG00000092051	14	0.6981160460661412	1.5655	0.058728999999999996
TRIM9	ENSG00000100505	14	0.6977424401995218	4.7653	9.429399999999999e-07
SIPA1L1	ENSG00000197555	14	0.6960012299136066	3.843	6.0778e-05
RTN1	ENSG00000139970	14	0.6934592766078069	4.5842	2.2788e-06
APBA2	ENSG00000034053	15	0.6928145173857292	1.0209	0.15365
TNIK	ENSG00000154310	3	0.6915447130366446	0.98767	0.16166
GSK3B	ENSG00000082701	3	0.6875625981034571	-0.25124	0.59919
CELF4	ENSG00000101489	18	0.6869856428972132	1.3133	0.094544
SLC24A2	ENSG00000155886	9	0.6864479580383873	0.27631	0.39115
KCND3	ENSG00000171385	1	0.6858276966471779	3.3584	0.00039191
CNTN4	ENSG00000144619	3	0.6857520647071198	5.4515	2.4974e-08
DLGAP2	ENSG00000198010	8	0.6830802608045395	4.1591	1.5974e-05
R3HDM1	ENSG00000048991	2	0.6827388950690613	-0.5745899999999999	0.71722
TENM3	ENSG00000218336	4	0.6814947620422248	3.9631	3.6991e-05
FAM155A	ENSG00000204442	13	0.6813391433930174	2.2973	0.0108
DPYSL5	ENSG00000157851	2	0.6804680768871683	4.2913	8.882100000000001e-06
SCN3A	ENSG00000153253	2	0.6793937254392955	1.9958	0.022977
CACNA1G	ENSG00000006283	17	0.6756015082951783	2.2977	0.010790000000000001
MMP16	ENSG00000156103	8	0.6746634537084302	5.0217	2.5615e-07
MAP1B	ENSG00000131711	5	0.6737950520403171	0.49813	0.3092
PAFAH1B1	ENSG00000007168	17	0.6737626212379038	2.2807	0.011284
CACNA2D3	ENSG00000157445	3	0.6735675024662792	3.5589999999999997	0.00018612
PCLO	ENSG00000186472	7	0.6711460154725299	4.8753	5.431499999999999e-07
STX1A	ENSG00000106089	7	0.6709824037270012	1.6552	0.048944999999999995
PNISR	ENSG00000132424	6	0.6707225944226215	2.762	0.0028723000000000004
NBEA	ENSG00000172915	13	0.6696430852969241	0.74967	0.22673000000000001
NLGN1	ENSG00000169760	3	0.6684017706215283	1.8299	0.033631
ATXN1	ENSG00000124788	6	0.6676834146331594	2.9819999999999998	0.0014321
TRA2A	ENSG00000164548	7	0.6669051627227052	2.4683	0.0067887
KIF1B	ENSG00000054523	1	0.6651141091849887	1.5018	0.066576
SNCA	ENSG00000145335	4	0.6646268749612617	3.2924	0.00049673
KIRREL3	ENSG00000149571	11	0.6637815189042521	3.892	4.9708e-05
LUC7L3	ENSG00000108848	17	0.6614444161069937	0.99631	0.15955
FRMD5	ENSG00000171877	15	0.6599288670560727	3.3545	0.00039754
LSAMP	ENSG00000185565	3	0.6589731203584007	0.81942	0.20626999999999998
CELF2	ENSG00000048740	10	0.6563690930224025	2.1263	0.016741
PJA2	ENSG00000198961	5	0.6539042230317422	2.3329	0.0098276
RERE	ENSG00000142599	1	0.6525225298696647	4.8186	7.227899999999999e-07
PLCL1	ENSG00000115896	2	0.6523364143200749	7.0283	1.0451e-12
SRGAP3	ENSG00000196220	3	0.6517258466305902	1.3693	0.085454
APP	ENSG00000142192	21	0.6489846702086315	2.6835	0.0036431
SON	ENSG00000159140	21	0.6489662507747627	2.5638	0.005176
AUTS2	ENSG00000158321	7	0.6486616758977338	3.562	0.000184
SFPQ	ENSG00000116560	1	0.6480597086678856	1.3828	0.08336299999999999
RBM25	ENSG00000119707	14	0.6475923088893868	2.1386	0.016236
ANKRD11	ENSG00000167522	16	0.6475175519678238	4.0388	2.6867e-05
APBA1	ENSG00000107282	9	0.6472390764977819	3.4686	0.00026156
TNRC6C	ENSG00000078687	17	0.6470971050037364	1.7983	0.036066
ASTN1	ENSG00000152092	1	0.6463547446363044	0.48583000000000004	0.31354
STXBP1	ENSG00000136854	9	0.6453202147356121	1.7305	0.041773000000000005
CLASP2	ENSG00000163539	3	0.6451157505768634	2.7059	0.0034062
UNC79	ENSG00000133958	14	0.6447186870837104	3.0346	0.0012041999999999999
CABP1	ENSG00000157782	12	0.6438366158132522	3.3339	0.00042822
CAMK2B	ENSG00000058404	7	0.643688912597121	0.2343	0.40738
NOL4	ENSG00000101746	18	0.6435951656759771	2.9936	0.0013785
KCTD16	ENSG00000183775	5	0.6434965070422051	1.4917	0.067888
AFF3	ENSG00000144218	2	0.6424114364872998	1.3254	0.092511
BAI3	ENSG00000135298	6	0.6417522937194258		
NTRK3	ENSG00000140538	15	0.6414889710686581	2.9359	0.0016626999999999998
HOMER1	ENSG00000152413	5	0.6399866742706295	1.4968	0.067227
CACNG7	ENSG00000105605	19	0.6390803026013931	1.7253	0.042237000000000004
PRRC2C	ENSG00000117523	1	0.6381587738162505	0.69167	0.24456999999999998
THRB	ENSG00000151090	3	0.6365134897942312	5.6002	1.0707e-08
KCNQ5	ENSG00000185760	6	0.6356553472132833	2.9447	0.0016164999999999999
NF1	ENSG00000196712	17	0.6353562927150255	-0.7086100000000001	0.76072
CAMTA1	ENSG00000171735	1	0.6352822547851114	1.3422	0.08976100000000001
CAMK2N1	ENSG00000162545	1	0.634892383100766	1.6349	0.051038
JAKMIP2	ENSG00000176049	5	0.6338580676355892	1.3825	0.083409
STMN1	ENSG00000117632	1	0.6337785185853606	0.34678000000000003	0.36438000000000004
DPYSL2	ENSG00000092964	8	0.6321423132297074	1.5084	0.065721
CACNA1E	ENSG00000198216	1	0.6304959528364226	0.40233	0.34371999999999997
CHD4	ENSG00000111642	12	0.6293707677095591	0.26311	0.39623
KMT2A	ENSG00000118058	11	0.6287307754038607	3.4479	0.00028245
NKTR	ENSG00000114857	3	0.6283786083695609	0.10385	0.45865
ATP1B1	ENSG00000143153	1	0.6252271781538258	1.5816	0.056865
SCN2A	ENSG00000136531	2	0.6244389339143046	0.6552	0.25617
CALN1	ENSG00000183166	7	0.621963055355084	5.8211	2.9227e-09
BACH2	ENSG00000112182	6	0.6215638132541638	4.4938	3.4983e-06
DNM3	ENSG00000197959	1	0.6205604230389851	2.3304	0.0098932
PLXNA4	ENSG00000221866	7	0.6204246563434354	1.94	0.026192
HSP90AB1	ENSG00000096384	6	0.6203466810048105	1.5408	0.061689
KCNJ3	ENSG00000162989	2	0.6190728381979815	0.8608899999999999	0.19465
LPHN3	ENSG00000150471	4	0.6183751472439221		
DGKZ	ENSG00000149091	11	0.6181727637017047	7.5164	2.8144e-14
SEPT3	ENSG00000100167	22	0.6172658322470301	6.9388	1.9774e-12
DST	ENSG00000151914	6	0.6171821758070942	3.1726	0.00075551
BCL7A	ENSG00000110987	12	0.6157141105024586	3.9973	3.2038e-05
RIMS2	ENSG00000176406	8	0.6146155791762161	2.5813	0.0049215000000000005
SYT11	ENSG00000132718	1	0.6136116364893849	0.62288	0.26668000000000003
CPEB4	ENSG00000113742	5	0.6135315602419116	0.37998000000000004	0.35198
SRSF11	ENSG00000116754	1	0.613341658325442	1.3838	0.083207
CHRNB2	ENSG00000160716	1	0.6113839302731375	2.9443	0.0016185
PSD3	ENSG00000156011	8	0.6111024322334712	4.4361	4.5811e-06
YWHAE	ENSG00000108953	17	0.6080366512517351	4.5501	2.6812e-06
GABRG2	ENSG00000113327	5	0.607535101108871	3.572	0.00017713
DPP6	ENSG00000130226	7	0.6044538486737002		
NPAS3	ENSG00000151322	14	0.6037987050662524	5.5617	1.3357000000000002e-08
SHANK2	ENSG00000162105	11	0.6005597558422491	3.1855	0.00072263
SET	ENSG00000119335	9	0.6001692758775152	2.206	0.013692
MYCBP2	ENSG00000005810	13	0.5996976036718484	0.096854	0.46142
CBX6	ENSG00000183741	22	0.5991298069049417	3.7984	7.2803e-05
FGF12	ENSG00000114279	3	0.5979645745501949	2.7731	0.0027760000000000003
YWHAZ	ENSG00000164924	8	0.5959021760430597	1.9423	0.026050999999999998
CELF5	ENSG00000161082	19	0.5955150181049083	-0.56581	0.71424
RBFOX3	ENSG00000167281	17	0.5942765935258686	2.1926	0.014169
CAMK2A	ENSG00000070808	5	0.5938537262123375	0.44225	0.32915
STXBP5L	ENSG00000145087	3	0.5934923788433013	1.0070000000000001	0.15696
DGKI	ENSG00000157680	7	0.5933959340218238	4.8891	5.0654e-07
KMT2E	ENSG00000005483	7	0.5933789923099485	3.4901	0.00024143
SLAIN1	ENSG00000139737	13	0.5932155487694268	2.8322	0.0023114999999999998
IER2	ENSG00000160888	19	0.5929112775891484	3.4408	0.00029002
DLG4	ENSG00000132535	17	0.5918690952170462	3.47	0.00026022
EFNA5	ENSG00000184349	5	0.5918570162483036	5.7424	4.6675e-09
ANKRD12	ENSG00000101745	18	0.5914627082205542	2.2126	0.013463999999999999
SMPD3	ENSG00000103056	16	0.5900537394860494	3.3056	0.0004738
SETD5	ENSG00000168137	3	0.5884575936442442	2.8887	0.0019343
OTUD7A	ENSG00000169918	15	0.5882381311709796	0.44471000000000005	0.32826
BASP1	ENSG00000176788	5	0.5876913219531424	2.4269	0.0076143
CACNA1I	ENSG00000100346	22	0.5870253251360227	7.2433	2.1891e-13
GPHN	ENSG00000171723	14	0.5866957182708595	2.7637	0.0028576
MACF1	ENSG00000127603	1	0.5866227683398094	2.4014	0.008166
HIVEP2	ENSG00000010818	6	0.5864890783656322	1.7287	0.041931
APC	ENSG00000134982	5	0.585655515562773	1.0638	0.1437
RBM39	ENSG00000131051	20	0.5851351911690673	0.64861	0.25829
MAPK8IP2	ENSG00000008735	22	0.583358870039458	3.8239	6.568399999999999e-05
CELF1	ENSG00000149187	11	0.5831134950999837	2.8426	0.0022377
NRG3	ENSG00000185737	10	0.5827669688750655	2.4944	0.0063088
NOVA1	ENSG00000139910	14	0.5814304605943922	1.9977	0.022874000000000002
AKT3	ENSG00000117020	1	0.5803530782869842	5.7298	5.026000000000001e-09
CHN1	ENSG00000128656	2	0.5803196147143175	2.2374	0.012631
CLU	ENSG00000120885	8	0.5799182172824432	4.8162	7.316199999999999e-07
SNRNP70	ENSG00000104852	19	0.5773999598823248	1.2019	0.1147
ARID4B	ENSG00000054267	1	0.5773326060867734	1.1616	0.12269000000000001
KCNC1	ENSG00000129159	11	0.5765425892023078	0.56528	0.28594
ADAM22	ENSG00000008277	7	0.5755551166865789	2.2426	0.012461
JUND	ENSG00000130522	19	0.5752165303548978	0.22507	0.41096000000000005
DSCAML1	ENSG00000177103	11	0.5746969392977987	3.1729	0.00075471
GABBR2	ENSG00000136928	9	0.5741652072314231	4.2091	1.2817000000000001e-05
PABPN1	ENSG00000100836	14	0.5739297312986511	2.5289	0.0057208
SETBP1	ENSG00000152217	18	0.5738877287614931	2.1692	0.015033000000000001
ZNF536	ENSG00000198597	19	0.5732728233135844	5.0456	2.2601999999999996e-07
KHDRBS2	ENSG00000112232	6	0.5730843937749188	0.9015	0.18366
GABRB2	ENSG00000145864	5	0.5730074729589163	-0.83099	0.79701
KIF5A	ENSG00000155980	12	0.5718834967285724	1.7449	0.040505
SNTG1	ENSG00000147481	8	0.5711375566282965	2.3379	0.0096958
DRD2	ENSG00000149295	11	0.5708193180092148	5.4968	1.9342e-08
ZSWIM6	ENSG00000130449	5	0.5706457955177494	6.1383	4.1698e-10
RYR2	ENSG00000198626	1	0.5704063919991166	1.4519	0.073261
RBFOX2	ENSG00000100320	22	0.570152515110153	1.0214	0.15352000000000002
ELAVL4	ENSG00000162374	1	0.5697047506068871	4.1076	1.9993e-05
PEBP1	ENSG00000089220	12	0.5696037240532794	2.3924	0.008368700000000001
KHDRBS3	ENSG00000131773	8	0.5688358951180887	1.1169	0.13201
RBM6	ENSG00000004534	3	0.5684624044399741	4.5307	2.9389e-06
FBXW7	ENSG00000109670	4	0.5678545577688211	-0.21406999999999998	0.58475
DPP10	ENSG00000175497	2	0.5676482367397252	2.8856	0.0019533000000000003
CHD5	ENSG00000116254	1	0.567408805202491	-0.13654000000000002	0.5543
NCOR1	ENSG00000141027	17	0.5673648456437576	0.5645	0.28620999999999996
GAP43	ENSG00000172020	3	0.5668465720412029	2.398	0.0082434
AAK1	ENSG00000115977	2	0.5662934461239624	-0.8695	0.80771
STRBP	ENSG00000165209	9	0.5654616428040811	1.4553	0.07279
STMN2	ENSG00000104435	8	0.5643329878263552	0.31215	0.37746
KIF21A	ENSG00000139116	12	0.5643316767948454	3.8782	5.2611e-05
ATP2A2	ENSG00000174437	12	0.5639280427901122	5.8868	1.9688e-09
ASH1L	ENSG00000116539	1	0.5631674175181053	1.8259999999999998	0.033923
GRID1	ENSG00000182771	10	0.5629927439157939	2.8379	0.0022706
PRKCB	ENSG00000166501	16	0.5627780855144674	2.6897	0.0035756
JMJD1C	ENSG00000171988	10	0.5614049509438803	2.7205	0.0032588
PTPRN2	ENSG00000155093	7	0.561327554144541	2.2367	0.012654
CDH10	ENSG00000040731	5	0.5606477431243724	2.6601	0.0039058
CAMKV	ENSG00000164076	3	0.5605301259825866	3.6001	0.00015905
CNTNAP2	ENSG00000174469	7	0.5603610082389388	3.1648	0.00077582
MAPK8IP3	ENSG00000138834	16	0.5599294589115228	0.6259600000000001	0.26566999999999996
CNIH2	ENSG00000174871	11	0.559192261298468	0.3938	0.34686
SYT7	ENSG00000011347	11	0.5591849360908481	1.8035	0.035653
GRIN2B	ENSG00000273079	12	0.5590718533162217	1.4528	0.073133
EPHA4	ENSG00000116106	2	0.5584766004757687	1.151	0.12487000000000001
ATP8A1	ENSG00000124406	4	0.5583520462331223	2.2492	0.01225
KCNIP4	ENSG00000185774	4	0.5577689869819229	1.8397	0.032904
ELAVL2	ENSG00000107105	9	0.5577495086713034	3.265	0.00054731
FYN	ENSG00000010810	6	0.5574233941363528	1.2453	0.10651
CRMP1	ENSG00000072832	4	0.5570968166072816	0.43491	0.33181
TNRC6A	ENSG00000090905	16	0.5563166608422416	1.6508	0.049386
PDE4B	ENSG00000184588	1	0.5557705008046275	4.4744	3.8307e-06
SRPK2	ENSG00000135250	7	0.5551340513748277	7.1832	3.4043e-13
APBB1	ENSG00000166313	11	0.5549737581867956	-1.9546	0.97469
ASAP1	ENSG00000153317	8	0.5542418480137933	2.9688	0.0014946
MDGA2	ENSG00000139915	14	0.5541910693080156	3.3176	0.00045395
CSRNP3	ENSG00000178662	2	0.5537557236183632	0.51903	0.30186999999999997
FGF14	ENSG00000102466	13	0.5535706711979604	1.165	0.12202
DLG1	ENSG00000075711	3	0.5529000622121821	3.9006	4.797e-05
RBM26	ENSG00000139746	13	0.5525485692133913	5.8868	1.9684e-09
PNN	ENSG00000100941	14	0.5524077157001576	1.9953	0.023006
CDK5	ENSG00000164885	7	0.5521486104544744	0.84126	0.2001
LMO4	ENSG00000143013	1	0.5519983149489137	0.8753799999999999	0.19068
PPM1L	ENSG00000163590	3	0.5506863445154616	1.9273	0.026973
NPTN	ENSG00000156642	15	0.5441297021371209	1.5715	0.058034
SLC4A8	ENSG00000050438	12	0.5440642458968656	2.2947	0.010875
ZNF292	ENSG00000188994	6	0.5438402355452189	1.9152	0.027732999999999997
NFASC	ENSG00000163531	1	0.5436561344003711	4.0161	2.958e-05
EDIL3	ENSG00000164176	5	0.54303004801699	2.3938	0.0083381
NSG2	ENSG00000170091	5	0.5422266692370142		
SOX2	ENSG00000181449	3	0.5422210433459379	3.4135	0.00032065
AHI1	ENSG00000135541	6	0.5420572193392341	0.91564	0.17993
SV2A	ENSG00000159164	1	0.541839909052883	1.6835	0.046142
HERC1	ENSG00000103657	15	0.5416088375732	0.7993600000000001	0.21204
KIAA1549L	ENSG00000110427	11	0.5415437506846936	0.62747	0.26516999999999996
SLTM	ENSG00000137776	15	0.5411147752650738	4.1911	1.3882999999999999e-05
CELF3	ENSG00000159409	1	0.5410798469850795	2.1557	0.015553
EPHA7	ENSG00000135333	6	0.5408993702479583	2.7772	0.0027413
CYFIP2	ENSG00000055163	5	0.5396995644674933	2.2558	0.012043
DDX17	ENSG00000100201	22	0.5393744519167726	0.98198	0.16305
RAB3A	ENSG00000105649	19	0.5393231114382102	0.84054	0.2003
XKR4	ENSG00000206579	8	0.5392297649336389	2.6505	0.0040191
DIP2C	ENSG00000151240	10	0.5387181229402788	1.6791	0.04657
HSP90AA1	ENSG00000080824	14	0.538407133003778	1.7447	0.040520999999999995
LRP1B	ENSG00000168702	2	0.5382146638159131	3.7259	9.730700000000001e-05
NTM	ENSG00000182667	11	0.5380091938923037	4.1093	1.9845e-05
SPOCK3	ENSG00000196104	4	0.5376758582629609	5.2027	9.8202e-08
FUT9	ENSG00000172461	6	0.5361941773610341	2.3687	0.0089259
PCM1	ENSG00000078674	8	0.5358504534053843	-0.17239000000000002	0.56843
MDM4	ENSG00000198625	1	0.5355587127534215	3.0664	0.0010834000000000002
KMT2C	ENSG00000055609	7	0.5351621997732455	-1.0286	0.8481799999999999
CACNA2D2	ENSG00000007402	3	0.5351179000109582	1.4663	0.071289
NISCH	ENSG00000010322	3	0.5349928795929713	2.963	0.0015230999999999999
NLK	ENSG00000087095	17	0.5345933808616331	1.6494	0.049537
DAB1	ENSG00000173406	1	0.5338083489178976	1.8376	0.033058
MAPRE2	ENSG00000166974	18	0.5337929206019221	0.54376	0.2933
QKI	ENSG00000112531	6	0.5331948601307006	4.3725	6.141e-06
PHIP	ENSG00000146247	6	0.5329538591994983	0.6122	0.2702
MLLT3	ENSG00000171843	9	0.5323611075384189	1.8433	0.032639999999999995
GPATCH8	ENSG00000186566	17	0.5322479178258626	0.86319	0.19402
RUNX1T1	ENSG00000079102	8	0.5322271166594524	0.041014	0.48363999999999996
ARID1B	ENSG00000049618	6	0.5320637496629849	3.7857	7.6642e-05
LRFN5	ENSG00000165379	14	0.5306136850635326	1.4704	0.070732
CXXC5	ENSG00000171604	5	0.5302013320023151	5.3016	5.7411000000000004e-08
NR4A2	ENSG00000153234	2	0.5301830608462307	3.3772	0.00036611
ERC2	ENSG00000187672	3	0.5286225521722135	1.8001	0.035919
SPTAN1	ENSG00000197694	9	0.5279755626475273	1.4834	0.068985
CELSR2	ENSG00000143126	1	0.5268308770034138	0.6580600000000001	0.25525
PRICKLE2	ENSG00000163637	3	0.5262688360144153	5.0326	2.419e-07
EIF4G3	ENSG00000075151	1	0.5262139382618645	2.8192	0.0024075
KIDINS220	ENSG00000134313	2	0.5258326864901558	-0.058183000000000006	0.5232
R3HDM2	ENSG00000179912	12	0.5257585752300457	3.4449	0.00028567
SOX5	ENSG00000134532	12	0.5256595093760092	5.1524	1.2862e-07
TTC14	ENSG00000163728	3	0.5254459229246538	4.3945	5.5506e-06
KCND2	ENSG00000184408	7	0.525385360855096	-1.2511	0.89455
ARC	ENSG00000198576	8	0.5253290193073257	2.8404	0.0022531999999999995
RGS7	ENSG00000182901	1	0.5246050221060795	1.1709	0.12082000000000001
KCNAB1	ENSG00000169282	3	0.5232835348574806	2.3548	0.0092658
TRIM2	ENSG00000109654	4	0.5232338935659261	-0.72539	0.76589
SCN3B	ENSG00000166257	11	0.5230730434721254	-0.60931	0.7288399999999999
UBE3A	ENSG00000114062	15	0.5228353940504846	-1.8268	0.96614
BPTF	ENSG00000171634	17	0.5226078910384939	-0.025333	0.5101100000000001
DNER	ENSG00000187957	2	0.5216392924471315	2.9963	0.0013662000000000001
PAX6	ENSG00000007372	11	0.520419539527691	1.1069	0.13416
ARID1A	ENSG00000117713	1	0.5197578189821458	2.23	0.012875
PRKACB	ENSG00000142875	1	0.518449487974229	1.5109	0.065413
MEIS2	ENSG00000134138	15	0.5179171437004058	0.83986	0.20049
GABRB1	ENSG00000163288	4	0.5176391549931508	3.7883	7.5838e-05
DLGAP3	ENSG00000116544	1	0.5174370036406368	3.2455	0.00058616
